商品ID,商品名稱,作者名稱,分類,首月銷量,3月累計,6月累計,12月累計,首月佔比,月衰退率,月保留率
B0000061,小小巴菲特贏在起跑點,陳重銘,紙本書,3862.0,13766.0,16226.0,26586.0,0.145,0.0,1.0
B0000064,小資致富術:用主題式ETF錢滾錢,陳重銘,紙本書,8527.0,16608.0,24110.0,26565.0,0.321,0.125,0.875
B0000065,6年存到300張股票 2022修訂版,陳重銘,紙本書,8326.0,9693.0,12463.0,17036.0,0.489,0.141,0.859
B0000086,《你也可以存100張金融股: 養出退休金雞母 打造領息好日子》｜陳重銘,陳重銘,紙本書,9907.0,12897.0,14101.0,16260.0,0.609,0.366,0.634
B0000105,《艾蜜莉存股術2.0：月薪2.5萬起步 滾到5千萬財富》｜艾蜜莉,艾蜜莉,紙本書,6371.0,11544.0,13032.0,14651.0,0.435,0.371,0.629
B0000080,《學會走圖SOP讓技術分析養我一輩子》｜林穎,林穎,紙本書,2032.0,9464.0,10960.0,14282.0,0.142,0.213,0.787
B0000116,《活用技術分析寶典：飆股上校朱家泓40年實戰精華 從K線、均線到交易高手的養成秘笈》【平裝書】｜朱家泓,朱家泓,紙本書,3951.0,9145.0,10208.0,13150.0,0.3,0.218,0.782
B0000063,勝率近100%的可轉債存股術,蕭啟斌,紙本書,4299.0,8827.0,11530.0,12597.0,0.341,0.132,0.868
B0000131,《富媽媽窮媽媽：陳重銘寫給不想一輩子窮忙的你，10個觀念從領薪水到領千萬股利》｜陳重銘,陳重銘,紙本書,4284.0,9142.0,11390.0,12488.0,0.343,0.174,0.826
B0000068,「教官，財報有問題！」：看穿市場鬼故事，買到銅板好股,楊禮軒,紙本書,7365.0,9823.0,10227.0,11281.0,0.653,0.434,0.566
B0000110,《新式型態學: 175張圖 x 22種多空K棒組合 x 8種獨創型態 股市新手一出手就賺》｜莎拉(Sara Wang),莎拉(Sara Wang),紙本書,6106.0,8623.0,9511.0,11252.0,0.543,0.453,0.547
B0000124,《權證小哥短線終極戰法：4大策略 ✖ 6種工具 ✖ 68個實戰案例，手把手教你賺》｜權證小哥,權證小哥,紙本書,4683.0,7163.0,7749.0,9257.0,0.506,0.328,0.672
B0000071,《變身少年巴菲特 培養財富創造力：學校沒教的22堂理財課》｜不敗教主 陳重銘,陳重銘,紙本書,4800.0,5782.0,7496.0,8274.0,0.58,0.0,1.0
B0000138,《主角模式：從「我得這樣」到「我可以選擇」，影響7500萬人的成長祕密》｜樊登,樊登,紙本書,2589.0,7990.0,7990.0,7990.0,0.324,0.0,1.0
B0000112,《打造小小巴菲特2  養成金錢好習慣：陳重銘的親子理財16堂啟蒙課》｜陳重銘,陳重銘,紙本書,4799.0,6042.0,6884.0,7635.0,0.629,0.335,0.665
B0000072,《人生流當品：重新改造，你可以是超值典藏品》,秦嗣林,紙本書,3207.0,5971.0,7109.0,7552.0,0.425,0.292,0.708
B0000103,《當沖畢勝啟示路：從菜雞到常勝軍  連贏70個月！超完備當沖指南》｜順流小畢,順流小畢,紙本書,1350.0,4747.0,5608.0,6348.0,0.213,0.106,0.894
B0000070,《慢步股市：給存股族的12個致富心法》｜流浪教師 華倫,華倫,紙本書,3078.0,4719.0,5224.0,5694.0,0.541,0.083,0.917
B0000127,《飆股新手的實戰筆記：簡單4步驟，小資也能季賺30%》｜陳威良,陳威良,紙本書,1301.0,3328.0,4810.0,5667.0,0.23,0.136,0.864
B0000067,教你存自己的300張股票 2022修訂版,陳重銘,紙本書,3403.0,3972.0,5139.0,5381.0,0.632,0.0,1.0
B0000099,《極簡投資：股市小白也能1天搞懂的技術分析》｜林恩如,林恩如,紙本書,3017.0,3779.0,4707.0,5346.0,0.564,0.118,0.882
B0000066,存飆股 一次賺進10年股息,"郭勝, 林上仁",紙本書,505.0,3649.0,4649.0,4926.0,0.103,0.0,1.0
B0000075,《這個房仲太狠了！揭開買、賣、租屋秘辛，教你躲過黑心建商坑殺陷阱》｜陳泰源,陳泰源,紙本書,2550.0,3274.0,3876.0,4250.0,0.6,0.282,0.718
B0000135,《Ryan爸爸的高效存股法: ETF X3大類股 打造月領10萬股息方程式》｜Ryan爸爸,Ryan爸爸,紙本書,1708.0,2521.0,3949.0,3949.0,0.433,0.163,0.837
B0000062,決勝股市關鍵16招,薛兆亨、TIVO,紙本書,3163.0,3460.0,3574.0,3796.0,0.833,0.336,0.664
B0000077,《鬼道致富》｜鬼手易生,鬼手易生,紙本書,2056.0,3247.0,3378.0,3601.0,0.571,0.707,0.293
B0000107,《FIRE，然後呢？──金錢、人際關係、健康……真實退休生活，老黑要告訴你的7件事！》｜老黑,老黑,紙本書,2600.0,2867.0,3281.0,3525.0,0.738,0.071,0.929
B0000111,《懶人存股翻倍術: 1招搞定美股投資 6年賺1倍》｜SK康德,SK康德,紙本書,2824.0,3196.0,3413.0,3447.0,0.819,0.651,0.349
B0000060,存股致勝心理學,孫悟天，孫太,紙本書,1.0,1106.0,1963.0,3439.0,0.0,0.0,1.0
B0000130,《存股族的槓桿翻倍術：自組ETF × 低風險策略，普通上班族也能年賺20%》｜吳宜勲（老吳）,吳宜勲（老吳）,紙本書,1900.0,2134.0,2329.0,3063.0,0.62,0.511,0.489
