商品ID,商品名稱,作者名稱,分類,上市後月數,月銷量,月營收,累計銷量
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,1,9.0,1872.0,9.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,2,1.0,272.0,10.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,5,1.0,272.0,11.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,9,2.0,1040.0,13.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,19,1.0,288.0,14.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,25,1.0,255.0,15.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,26,1.0,288.0,16.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,27,5.0,1440.0,21.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,28,11.0,2788.0,32.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,29,15.0,3750.0,47.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,30,9.0,2250.0,56.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,31,5.0,1250.0,61.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,32,4.0,1000.0,65.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,33,3.0,788.0,68.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,34,27.0,6175.0,95.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,35,30.0,7188.0,125.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,36,143.0,34474.0,268.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,37,150.0,37826.0,418.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,38,46.0,11500.0,464.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,39,97.0,24238.0,561.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,40,789.0,145998.0,1350.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,41,1515.0,274424.0,2865.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,42,1173.0,215411.0,4038.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,43,1320.0,240334.0,5358.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,44,752.0,137013.0,6110.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,45,327.0,63112.0,6437.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,46,1656.0,301391.0,8093.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,47,885.0,164020.0,8978.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,48,891.0,159396.0,9869.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,49,266.0,47852.0,10135.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,50,600.0,108124.0,10735.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,51,1177.0,211927.0,11912.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,52,535.0,92170.0,12447.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,53,267.0,47319.0,12714.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,54,450.0,81049.0,13164.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,55,416.0,73934.0,13580.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,56,386.0,69917.0,13966.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,57,315.0,57275.0,14281.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,58,315.0,56855.0,14596.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,59,149.0,26868.0,14745.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,60,204.0,36411.0,14949.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,61,193.0,33738.0,15142.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,62,122.0,22376.0,15264.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,63,326.0,58724.0,15590.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,65,179.0,32177.0,15769.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,66,224.0,40493.0,15993.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,67,195.0,34384.0,16188.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,68,355.0,72420.0,16543.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,69,322.0,59529.0,16865.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,70,254.0,48526.0,17119.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,71,582.0,105791.0,17701.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,72,257.0,47257.0,17958.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,73,251.0,46192.0,18209.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,74,133.0,30479.0,18342.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,75,262.0,47546.0,18604.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,76,106.0,21298.0,18710.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,77,206.0,37415.0,18916.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,78,289.0,52788.0,19205.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,79,346.0,63520.0,19551.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,80,744.0,134074.0,20295.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,81,390.0,71242.0,20685.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,82,386.0,73318.0,21071.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,83,116.0,22694.0,21187.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,84,296.0,53050.0,21483.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,85,82.0,15964.0,21565.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,86,223.0,40002.0,21788.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,87,34.0,6812.0,21822.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,88,131.0,24177.0,21953.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,89,52.0,9499.0,22005.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,90,17.0,3635.0,22022.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,91,63.0,11554.0,22085.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,92,68.0,12613.0,22153.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,93,42.0,7591.0,22195.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,94,31.0,5606.0,22226.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,95,39.0,7530.0,22265.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,96,10.0,1891.0,22275.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,97,2.0,365.0,22277.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,99,10.0,1824.0,22287.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,100,5.0,912.0,22292.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,101,5.0,912.0,22297.0
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,102,12.0,2189.0,22309.0
B0000027,用窮滋味教出富小孩,李佳蓉,紙本書,1,150.0,27730.0,150.0
B0000027,用窮滋味教出富小孩,李佳蓉,紙本書,2,150.0,27730.0,300.0
B0000027,用窮滋味教出富小孩,李佳蓉,紙本書,3,23.0,4439.0,323.0
B0000027,用窮滋味教出富小孩,李佳蓉,紙本書,4,104.0,19272.0,427.0
B0000027,用窮滋味教出富小孩,李佳蓉,紙本書,9,2.0,399.0,429.0
B0000027,用窮滋味教出富小孩,李佳蓉,紙本書,10,9.0,1796.0,438.0
B0000027,用窮滋味教出富小孩,李佳蓉,紙本書,11,2.0,399.0,440.0
B0000027,用窮滋味教出富小孩,李佳蓉,紙本書,38,66.0,12316.0,506.0
B0000027,用窮滋味教出富小孩,李佳蓉,紙本書,45,50.0,8400.0,556.0
B0000027,用窮滋味教出富小孩,李佳蓉,紙本書,62,80.0,13440.0,636.0
B0000027,用窮滋味教出富小孩,李佳蓉,紙本書,68,150.0,25200.0,786.0
B0000027,用窮滋味教出富小孩,李佳蓉,紙本書,87,1.0,238.0,787.0
B0000027,用窮滋味教出富小孩,李佳蓉,紙本書,89,1.0,238.0,788.0
