商品ID,商品名稱,作者名稱,分類,淨銷量,總營收,訂單數,首次銷售日,最後銷售日,銷售月數,月均銷量
B0000061,小小巴菲特贏在起跑點,陳重銘,紙本書,42895.0,10138713.0,1480,2021-04-01,2026-04-02,61,703.2
B0000056,抓住飆股輕鬆賺2020修訂版,朱家泓,紙本書,37001.0,7562082.0,1983,2019-12-02,2026-03-04,76,486.9
B0000030S,抓住K線獲利無限(金尉),朱家泓,紙本書,32191.0,5865669.0,1968,2017-09-05,2026-03-04,103,312.5
B0000064,小資致富術:用主題式ETF錢滾錢,陳重銘,紙本書,27579.0,5937074.0,3054,2021-11-01,2026-03-18,53,520.4
B0000024S,抓住線圖股民變股神(金尉),朱家泓,紙本書,21402.0,3953684.0,1801,2017-10-27,2026-03-04,102,209.8
B0000038S,做對五個實戰步驟你就是賺錢高手(金尉),朱家泓,紙本書,20519.0,3779328.0,1867,2017-10-27,2026-03-12,102,201.2
B0000080,《學會走圖SOP讓技術分析養我一輩子》｜林穎,林穎,紙本書,19395.0,4912044.0,931,2023-06-27,2026-04-01,35,554.1
B0000065,6年存到300張股票 2022修訂版,陳重銘,紙本書,18836.0,3764301.0,508,2022-01-11,2026-03-18,51,369.3
B0000086,《你也可以存100張金融股: 養出退休金雞母 打造領息好日子》｜陳重銘,陳重銘,紙本書,16609.0,3333519.0,499,2023-08-24,2026-03-23,32,519.0
B0000116,《活用技術分析寶典：飆股上校朱家泓40年實戰精華 從K線、均線到交易高手的養成秘笈》【平裝書】｜朱家泓,朱家泓,紙本書,15557.0,10537841.0,579,2024-11-05,2026-04-01,18,864.3
B0000063,勝率近100%的可轉債存股術,蕭啟斌,紙本書,15513.0,3305405.0,532,2021-08-17,2026-03-18,56,277.0
B0000105,《艾蜜莉存股術2.0：月薪2.5萬起步 滾到5千萬財富》｜艾蜜莉,艾蜜莉,紙本書,13783.0,3311225.0,368,2024-03-21,2026-03-31,25,551.3
B0000131,《富媽媽窮媽媽：陳重銘寫給不想一輩子窮忙的你，10個觀念從領薪水到領千萬股利》｜陳重銘,陳重銘,紙本書,12233.0,2865548.0,205,2025-08-19,2026-03-30,8,1529.1
B0000071,《變身少年巴菲特 培養財富創造力：學校沒教的22堂理財課》｜不敗教主 陳重銘,陳重銘,紙本書,10826.0,2896684.0,543,2022-12-13,2026-04-01,41,264.0
B0000110,《新式型態學: 175張圖 x 22種多空K棒組合 x 8種獨創型態 股市新手一出手就賺》｜莎拉(Sara Wang),莎拉(Sara Wang),紙本書,10727.0,2724701.0,417,2024-07-16,2026-03-23,21,510.8
B0000068,「教官，財報有問題！」：看穿市場鬼故事，買到銅板好股,楊禮軒,紙本書,10243.0,2388017.0,255,2022-10-11,2026-02-24,41,249.8
B0000124,《權證小哥短線終極戰法：4大策略 ✖ 6種工具 ✖ 68個實戰案例，手把手教你賺》｜權證小哥,權證小哥,紙本書,8796.0,2425393.0,413,2025-03-18,2026-04-02,14,628.3
B0000058,[聖誕狂歡慶]陳重銘上班族的ETF賺錢術簽名影音書,陳重銘,紙本書,8624.0,1740087.0,527,2020-02-27,2025-09-12,68,126.8
B0000112,《打造小小巴菲特2  養成金錢好習慣：陳重銘的親子理財16堂啟蒙課》｜陳重銘,陳重銘,紙本書,8549.0,2628419.0,271,2024-08-06,2026-04-02,21,407.1
B0000138,《主角模式：從「我得這樣」到「我可以選擇」，影響7500萬人的成長祕密》｜樊登,樊登,紙本書,7984.0,1871571.0,77,2026-01-06,2026-03-30,3,2661.3
B0000072,《人生流當品：重新改造，你可以是超值典藏品》,秦嗣林,紙本書,6985.0,1395036.0,277,2023-01-10,2026-03-18,39,179.1
B0000103,《當沖畢勝啟示路：從菜雞到常勝軍  連贏70個月！超完備當沖指南》｜順流小畢,順流小畢,紙本書,6451.0,1766723.0,391,2024-02-27,2026-03-24,26,248.1
B0000099,《極簡投資：股市小白也能1天搞懂的技術分析》｜林恩如,林恩如,紙本書,5560.0,1301599.0,549,2023-12-26,2026-03-29,28,198.6
B0000050,12招獨門秘技 找出飆股基因,孫慶龍,紙本書,5425.0,1102274.0,404,2018-07-04,2024-05-27,71,76.4
B0000067,教你存自己的300張股票 2022修訂版,陳重銘,紙本書,5316.0,1116366.0,316,2022-06-16,2026-03-27,46,115.6
B0000127,《飆股新手的實戰筆記：簡單4步驟，小資也能季賺30%》｜陳威良,陳威良,紙本書,5076.0,1199525.0,236,2025-05-22,2026-03-29,11,461.5
B0000060,存股致勝心理學,孫悟天，孫太,紙本書,4967.0,1008739.0,273,2020-12-25,2026-01-29,62,80.1
B0000066,存飆股 一次賺進10年股息,"郭勝, 林上仁",紙本書,4892.0,1134685.0,380,2022-06-16,2026-03-09,46,106.3
B0000070,《慢步股市：給存股族的12個致富心法》｜流浪教師 華倫,華倫,紙本書,4645.0,982912.0,208,2022-11-22,2026-03-18,41,113.3
B0000139,《慢慢富，比快快窮容易：阮慕驊教你3階段打造一生財富，找回失控的投資節奏》｜阮慕驊,阮慕驊,紙本書,4416.0,1113967.0,92,2025-01-06,2026-04-01,16,276.0
B0000054,我用1檔ETF存自己的18%,陳重銘,紙本書,4155.0,844227.0,257,2020-05-13,2026-02-24,70,59.4
B0000075,《這個房仲太狠了！揭開買、賣、租屋秘辛，教你躲過黑心建商坑殺陷阱》｜陳泰源,陳泰源,紙本書,3966.0,838580.0,229,2023-03-21,2026-03-09,37,107.2
B0000135,《Ryan爸爸的高效存股法: ETF X3大類股 打造月領10萬股息方程式》｜Ryan爸爸,Ryan爸爸,紙本書,3837.0,858132.0,91,2025-10-21,2026-03-23,6,639.5
B0000037S,6年存到300張股票,陳重銘,紙本書,3744.0,602343.0,190,2015-04-11,2022-10-01,91,41.1
B0000029,巴菲特選股神功,洪瑞泰、Easy,紙本書,3587.0,606270.0,203,2008-07-07,2017-10-13,112,32.0
B0000046,不上班也有錢,曾婉鈴,紙本書,3391.0,681802.0,237,2017-04-10,2025-08-27,101,33.6
B0000044S,進階版：每年多存300張股票,陳重銘,紙本書,2948.0,535972.0,226,2016-07-12,2025-01-24,103,28.6
B0000077,《鬼道致富》｜鬼手易生,鬼手易生,紙本書,2940.0,647999.0,235,2023-05-23,2026-03-12,35,84.0
B0000107,《FIRE，然後呢？──金錢、人際關係、健康……真實退休生活，老黑要告訴你的7件事！》｜老黑,老黑,紙本書,2862.0,637148.0,136,2024-05-14,2026-02-24,22,130.1
B0000130,《存股族的槓桿翻倍術：自組ETF × 低風險策略，普通上班族也能年賺20%》｜吳宜勲（老吳）,吳宜勲（老吳）,紙本書,2774.0,621092.0,100,2025-07-29,2026-03-27,9,308.2
B0000042S,你沒學到的巴菲特:股神默默在做的事,闕又上,紙本書,2772.0,597273.0,115,2016-04-12,2022-09-01,78,35.5
B0000028S,(絕版下架)源源不絕賺好股,孫慶龍,紙本書,2471.0,439811.0,252,2013-09-18,2024-04-16,128,19.3
EB0000122,《上癮式存錢：邊賺邊存、越存越爽，一鍵刷新你對錢的概念！》電子版｜阿汝娜、周劍銓,阿汝娜、周劍銓,電子書,2460.0,217162.0,65,2025-01-01,2026-02-01,14,175.7
B0000081,"《29歲開始做 43歲提早退休: 用窮酸皮夾不追求表面富有,拿到退休入場券!》｜粉圓妹",粉圓妹,紙本書,2431.0,513050.0,253,2023-07-25,2026-03-18,33,73.7
B0000141,《價值覺醒：股人阿勳的進化思維，破解「便宜不漲」的真相，告別賣飛人生》｜股人阿勳,股人阿勳,紙本書,2395.0,599309.0,56,2026-01-06,2026-03-29,3,798.3
B0000029S,巴菲特選股神功(金尉),洪瑞泰、Easy,紙本書,2290.0,364879.0,108,2017-08-22,2023-03-01,68,33.7
